value,label
"eix
","eix
 Edison Int'l utilities electric utilities SP500"
"ew
","ew
 Edwards Lifesciences health care health care equipment SP500"
"ea
","ea
 Electronic Arts communication services interactive home entertainment SP500"
"emr
","emr
 Emerson Electric Company industrials electrical components & equipment SP500"
"etr
","etr
 Entergy Corp. utilities electric utilities SP500"
"eog
","eog
 EOG Resources energy oil & gas exploration & production SP500"
"efx
","efx
 Equifax Inc. industrials research & consulting services SP500"
"eqix
","eqix
 Equinix real estate specialized reits SP500"
"eqr
","eqr
 Equity Residential real estate residential reits SP500"
"ess
","ess
 Essex Property Trust, Inc. real estate residential reits SP500"
"el
","el
 Estée Lauder Companies consumer staples personal products SP500"
"evrg
","evrg
 Evergy utilities electric utilities SP500"
"es
","es
 Eversource Energy utilities multi-utilities SP500"
"re
","re
 Everest Re Group Ltd. financials reinsurance SP500"
"exc
","exc
 Exelon Corp. utilities multi-utilities SP500"
"expe
","expe
 Expedia Group consumer discretionary internet & direct marketing retail SP500"
"expd
","expd
 Expeditors industrials air freight & logistics SP500"
"exr
","exr
 Extra Space Storage real estate specialized reits SP500"
"xom
","xom
 Exxon Mobil Corp. energy integrated oil & gas SP500"
"ffiv
","ffiv
 F5 Networks information technology communications equipment SP500"
"fb
","fb
 Facebook, Inc. communication services interactive media & services SP500"
"fast
","fast
 Fastenal Co industrials building products SP500"
"frt
","frt
 Federal Realty Investment Trust real estate retail reits SP500"
"fdx
","fdx
 FedEx Corporation industrials air freight & logistics SP500"
"fis
","fis
 Fidelity National Information Services information technology data processing & outsourced services SP500"
"fitb
","fitb
 Fifth Third Bancorp financials regional banks SP500"
"fe
","fe
 FirstEnergy Corp utilities electric utilities SP500"
"frc
","frc
 First Republic Bank financials regional banks SP500"
"fisv
","fisv
 Fiserv Inc information technology data processing & outsourced services SP500"
"flt
","flt
 FleetCor Technologies Inc information technology data processing & outsourced services SP500"
"flir
","flir
 FLIR Systems information technology electronic equipment & instruments SP500"
"fls
","fls
 Flowserve Corporation industrials industrial machinery SP500"
"fmc
","fmc
 FMC Corporation materials fertilizers & agricultural chemicals SP500"
"f
","f
 Ford Motor Company consumer discretionary automobile manufacturers SP500"
"ftnt
","ftnt
 Fortinet information technology systems software SP500"
"ftv
","ftv
 Fortive Corp industrials industrial machinery SP500"
"fbhs
","fbhs
 Fortune Brands Home & Security industrials building products SP500"
"foxa
","foxa
 Fox Corporation (Class A) communication services movies & entertainment SP500"
"fox
","fox
 Fox Corporation (Class B) communication services movies & entertainment SP500"
"ben
","ben
 Franklin Resources financials asset management & custody banks SP500"
"fcx
","fcx
 Freeport-McMoRan Inc. materials copper SP500"
"gps
","gps
 Gap Inc. consumer discretionary apparel retail SP500"
"grmn
","grmn
 Garmin Ltd. consumer discretionary consumer electronics SP500"
"it
","it
 Gartner Inc information technology it consulting & other services SP500"
"gd
","gd
 General Dynamics industrials aerospace & defense SP500"
"ge
","ge
 General Electric industrials industrial conglomerates SP500"
"gis
","gis
 General Mills consumer staples packaged foods & meats SP500"
"gm
","gm
 General Motors consumer discretionary automobile manufacturers SP500"
"gpc
","gpc
 Genuine Parts consumer discretionary specialty stores SP500"
"gild
","gild
 Gilead Sciences health care biotechnology SP500"
"gl
","gl
 Globe Life Inc. financials life & health insurance SP500"
"gpn
","gpn
 Global Payments Inc. information technology data processing & outsourced services SP500"
"gs
","gs
 Goldman Sachs Group financials investment banking & brokerage SP500"
"gww
","gww
 Grainger (W.W.) Inc. industrials industrial machinery SP500"
"hrb
","hrb
 H&R Block consumer discretionary specialized consumer services SP500"
"hal
","hal
 Halliburton Co. energy oil & gas equipment & services SP500"
"hbi
","hbi
 Hanesbrands Inc consumer discretionary apparel, accessories & luxury goods SP500"
"hog
","hog
 Harley-Davidson consumer discretionary motorcycle manufacturers SP500"
"hig
","hig
 Hartford Financial Svc.Gp. financials property & casualty insurance SP500"
"has
","has
 Hasbro Inc. consumer discretionary leisure products SP500"
"hca
","hca
 HCA Healthcare health care health care facilities SP500"
"peak
","peak
 Healthpeak Properties real estate health care reits SP500"
"hsic
","hsic
 Henry Schein health care health care distributors SP500"
"hsy
","hsy
 The Hershey Company consumer staples packaged foods & meats SP500"
"hes
","hes
 Hess Corporation energy integrated oil & gas SP500"
"hpe
","hpe
 Hewlett Packard Enterprise information technology technology hardware, storage & peripherals SP500"
"hlt
","hlt
 Hilton Worldwide Holdings Inc consumer discretionary hotels, resorts & cruise lines SP500"
"hfc
","hfc
 HollyFrontier Corp energy oil & gas refining & marketing SP500"
"holx
","holx
 Hologic health care health care equipment SP500"
"hd
","hd
 Home Depot consumer discretionary home improvement retail SP500"
"hon
","hon
 Honeywell Int'l Inc. industrials industrial conglomerates SP500"
"hrl
","hrl
 Hormel Foods Corp. consumer staples packaged foods & meats SP500"
"hst
","hst
 Host Hotels & Resorts real estate hotel & resort reits SP500"
"hwm
","hwm
 Howmet Aerospace industrials aerospace & defense SP500"
"hpq
","hpq
 HP Inc. information technology technology hardware, storage & peripherals SP500"
"hum
","hum
 Humana Inc. health care managed health care SP500"
"hban
","hban
 Huntington Bancshares financials regional banks SP500"
"hii
","hii
 Huntington Ingalls Industries industrials aerospace & defense SP500"
"iex
","iex
 IDEX Corporation industrials industrial machinery SP500"
"idxx
","idxx
 IDEXX Laboratories health care health care equipment SP500"
"info
","info
 IHS Markit Ltd. industrials research & consulting services SP500"
"itw
","itw
 Illinois Tool Works industrials industrial machinery SP500"
"ilmn
","ilmn
 Illumina Inc health care life sciences tools & services SP500"
"incy
","incy
 Incyte health care biotechnology SP500"
"ir
","ir
 Ingersoll Rand industrials industrial machinery SP500"
"intc
","intc
 Intel Corp. information technology semiconductors SP500"
"ice
","ice
 Intercontinental Exchange financials financial exchanges & data SP500"
"ibm
","ibm
 International Business Machines information technology it consulting & other services SP500"
"ip
","ip
 International Paper materials paper packaging SP500"
"ipg
","ipg
 Interpublic Group communication services advertising SP500"
"iff
","iff
 Intl Flavors & Fragrances materials specialty chemicals SP500"
"intu
","intu
 Intuit Inc. information technology application software SP500"
"isrg
","isrg
 Intuitive Surgical Inc. health care health care equipment SP500"
"ivz
","ivz
 Invesco Ltd. financials asset management & custody banks SP500"
"ipgp
","ipgp
 IPG Photonics Corp. information technology electronic manufacturing services SP500"
"iqv
","iqv
 IQVIA Holdings Inc. health care life sciences tools & services SP500"
"irm
","irm
 Iron Mountain Incorporated real estate specialized reits SP500"
"jkhy
","jkhy
 Jack Henry & Associates information technology data processing & outsourced services SP500"
"j
","j
 Jacobs Engineering Group industrials construction & engineering SP500"
